#331800,
#d6fa00,
#5642ec,
#2ad822,
#b900d0,
#6ccc00,
#c24dff,
#86ff69,
#014aed,
#6bff7d,
#f517d8,
#3aab00,
#ff5bf9,
#01cd5a,
#ad00ad,
#00bb42,
#0033bf,
#b3ff6e,
#0256ef,
#ffd63b,
#4e76ff,
#399600,
#730093,
#cfff7b,
#000663,
#fff989,
#0042ae,
#c4aa00,
#9174ff,
#769c00,
#cc77ff,
#006e00,
#ff34b6,
#32ffc5,
#e30089,
#6fffc8,
#e8001c,
#34ffef,
#f50042,
#02dbb4,
#ff3177,
#01bf88,
#900087,
#b7ffad,
#5a006e,
#4a8300,
#007efc,
#f87a00,
#2598ff,
#ffa628,
#013c9c,
#cf9d00,
#000b52,
#c9ffb5,
#540053,
#a6ffd1,
#cb0059,
#008e46,
#ff71dc,
#006c2b,
#cb8aff,
#979800,
#c391ff,
#9f7700,
#014190,
#d05500,
#01a1e9,
#ff783e,
#006abd,
#ffcb71,
#2e0038,
#d6ffd2,
#920068,
#73f8ff,
#ff3865,
#01a191,
#b00024,
#00a8b8,
#ff5867,
#008564,
#ff6dba,
#004a24,
#ff9df4,
#123200,
#c69eff,
#384900,
#ff90d9,
#031c00,
#c3a9ff,
#a15e00,
#79a7ff,
#963000,
#79beff,
#7e1900,
#00a7c9,
#8c3600,
#91b5ff,
#7c5b00,
#0168b0,
#ffa669,
#001b3b,
#ffecb6,
#270027,
#eaffe5,
#16001c,
#e8feff,
#320018,
#ffefe9,
#1a0100,
#ede6ff,
#151500,
#ffb6ea,
#2b3100,
#ff8bbf,
#00765c,
#aa0056,
#004d35,
#ff908b,
#001b21,
#ffd3ad,
#41000f,
#c9e8ff,
#710012,
#bccaff,
#5e0a00,
#e5d7ff,
#421300,
#ffd7e3,
#642400,
#007bb4,
#8f002f,
#02899c,
#6f002b,
#006d6a,
#ff98a2,
#004342,
#ffa883,
#004b72,
#ffc296,
#005d7c,
#ffc2bc,
#00525f,
#554200,
#017da7
